0 (66)
1 (73)
10 (55)
11 (68)
12 (62)
13 (53)
14 (48)
142 (78)
143 (137)
144 (121)
145 (112)
146 (112)
147 (125)
148 (97)
149 (121)
15 (31)
150 (119)
2 (51)
23 (40)
24 (113)
25 (911)
3 (65)
31 (43)
32 (57)
33 (42)
34 (55)
35 (48)
36 (46)
37 (53)
38 (54)
39 (43)
4 (50)
40 (52)
41 (40)
42 (56)
43 (43)
44 (42)
45 (54)
46 (44)
47 (41)
48 (58)
49 (49)
5 (56)
50 (54)
51 (64)
52 (602)
53 (405)
6 (67)
7 (58)
8 (48)
9 (60)
0 25 (66)
0 52 (27)
0 53 (38)
1 25 (73)
1 52 (44)
1 53 (25)
10 25 (55)
10 52 (28)
10 53 (27)
11 25 (68)
11 52 (51)
12 25 (62)
12 52 (39)
12 53 (23)
13 25 (53)
13 52 (25)
13 53 (28)
14 25 (48)
14 52 (31)
15 25 (31)
2 25 (51)
2 52 (32)
23 24 (40)
23 53 (21)
24 52 (53)
24 53 (58)
25 142 (70)
25 143 (125)
25 144 (110)
25 145 (99)
25 146 (103)
25 147 (112)
25 148 (83)
25 149 (102)
25 150 (106)
25 31 (40)
25 32 (51)
25 33 (35)
25 34 (45)
25 35 (44)
25 36 (40)
25 37 (49)
25 38 (49)
25 39 (34)
25 40 (44)
25 41 (37)
25 42 (53)
25 43 (40)
25 44 (35)
25 45 (48)
25 46 (38)
25 47 (39)
25 48 (55)
25 49 (45)
25 50 (46)
25 51 (57)
25 52 (549)
25 53 (347)
3 25 (65)
3 52 (40)
3 53 (25)
31 53 (23)
32 52 (31)
32 53 (26)
33 52 (26)
34 52 (30)
34 53 (24)
35 52 (33)
36 52 (27)
37 52 (30)
38 52 (31)
38 53 (23)
39 52 (23)
4 25 (50)
4 52 (34)
40 52 (24)
40 53 (26)
41 52 (29)
42 52 (35)
43 52 (30)
44 52 (24)
45 52 (36)
46 52 (24)
47 52 (25)
48 52 (38)
49 52 (27)
5 25 (56)
5 52 (31)
5 53 (23)
50 52 (32)
50 53 (22)
51 52 (27)
51 53 (21)
52 142 (51)
52 143 (79)
52 144 (65)
52 145 (69)
52 146 (71)
52 147 (72)
52 148 (58)
52 149 (63)
52 150 (73)
53 142 (26)
53 143 (54)
53 144 (53)
53 145 (43)
53 146 (40)
53 147 (51)
53 148 (39)
53 149 (53)
53 150 (45)
6 25 (67)
6 52 (37)
6 53 (28)
7 25 (58)
7 52 (38)
8 25 (48)
8 52 (31)
9 25 (60)
9 52 (41)
0 25 52 (27)
0 25 53 (38)
1 25 52 (44)
1 25 53 (25)
10 25 52 (28)
10 25 53 (27)
11 25 52 (51)
12 25 52 (39)
12 25 53 (23)
13 25 52 (25)
13 25 53 (28)
14 25 52 (31)
2 25 52 (32)
23 24 53 (21)
25 31 53 (21)
25 32 52 (27)
25 32 53 (24)
25 33 52 (24)
25 34 52 (26)
25 35 52 (31)
25 36 52 (22)
25 37 52 (28)
25 38 52 (28)
25 38 53 (21)
25 40 53 (24)
25 41 52 (27)
25 42 52 (34)
25 43 52 (29)
25 45 52 (33)
25 46 52 (22)
25 47 52 (23)
25 48 52 (36)
25 49 52 (25)
25 50 52 (31)
25 51 52 (24)
25 52 142 (47)
25 52 143 (71)
25 52 144 (60)
25 52 145 (63)
25 52 146 (64)
25 52 147 (70)
25 52 148 (51)
25 52 149 (55)
25 52 150 (67)
25 53 142 (22)
25 53 143 (50)
25 53 144 (47)
25 53 145 (36)
25 53 146 (38)
25 53 147 (40)
25 53 148 (32)
25 53 149 (43)
25 53 150 (39)
3 25 52 (40)
3 25 53 (25)
4 25 52 (34)
5 25 52 (31)
5 25 53 (23)
6 25 52 (37)
6 25 53 (28)
7 25 52 (38)
8 25 52 (31)
9 25 52 (41)
